Id;Hora de inicio;Hora de finalizaci’┐Įn;Correo electr’┐Įnico;Nombre;semester;career;interest_field;expectation_clarity;expectation_alignment;career_expectations;perceived_difficulty;study_habits;time_management;academic_stress;capacity_alignment;academic_enjoyment;area_identification;intrinsic_motivation;extrinsic_motivation;social_impact;professional_value
1;2/15/26 7:17:13;2/15/26 7:18:29;anonymous;;6;Ingenier’┐Įa de Sistemas;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo
2;2/15/26 20:35:40;2/15/26 20:39:47;anonymous;;6;Ingenier’┐Įa de sistemas;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo
3;2/16/26 7:38:37;2/16/26 7:41:29;anonymous;;6;Ingenier’┐Įa de sistemas ;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo
4;2/16/26 8:05:35;2/16/26 8:07:15;anonymous;;7;Ingenier’┐Įa de Sistemas;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo
5;2/16/26 8:05:48;2/16/26 8:07:32;anonymous;;6;Ing sistemas;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo
6;2/16/26 9:47:02;2/16/26 9:48:07;anonymous;;6;Ingenier’┐Įa de sistemas ;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo
7;2/16/26 12:47:00;2/16/26 12:48:45;anonymous;;6;Ingenier’┐Įa de Sistemas;Muy de acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo
8;2/16/26 13:10:13;2/16/26 13:11:21;anonymous;;7;Ingenier’┐Įa de Sistemas;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo
9;2/17/26 12:08:38;2/17/26 12:09:59;anonymous;;6;Ingenier’┐Įa de Sistemas;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo
10;2/17/26 12:10:35;2/17/26 12:14:43;anonymous;;6;Sistemas;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo
11;2/17/26 12:20:23;2/17/26 12:22:18;anonymous;;6;Ingenier’┐Įa de sistemas;Muy de acuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo
12;2/17/26 12:33:14;2/17/26 12:35:14;anonymous;;6;Ingenier’┐Įa de Sistemas;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo
13;2/17/26 12:37:11;2/17/26 12:38:38;anonymous;;6;Ingenier’┐Įa de Sistemas ;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo
14;2/17/26 12:29:18;2/17/26 12:38:57;anonymous;;4.8;Ingenieria de Sistemas;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
